Year,Event,Full_Text,Sentiment_Score,Category
1945,"The Senate confirmsBetsy DeVosas the 11thUS Secretary of Educationby a vote of 51–50. Pence, in the capacity ofPresident of the Senate, becomes the first vice president since 1945to cast atie-breaking...","The Senate confirmsBetsy DeVosas the 11thUS Secretary of Educationby a vote of 51–50. Pence, in the capacity ofPresident of the Senate, becomes the first vice president since 1945to cast atie-breaking voteto confirm a Cabinet member.",0.25,Positive
1965,"^""H.J.Res.57—Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans und...","^""H.J.Res.57—Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965"".congress.gov. March 27, 2017.Archivedfrom the original on September 30, 2017.",0.125,Positive
1976,"^""H.J.Res.44—Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land us...","^""H.J.Res.44—Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976"".congress.gov. March 27, 2017.Archivedfrom the original on October 1, 2017.",0.375,Positive
1981,"Trump becomes the first sitting president to skip theWhite House Correspondents' Dinnersince 1981, whenRonald Reaganwas recovering froman assassination attempt....","Trump becomes the first sitting president to skip theWhite House Correspondents' Dinnersince 1981, whenRonald Reaganwas recovering froman assassination attempt.",0.25,Positive
2005,"Rachel Maddowdiscloses a portion of Trump's 2005 tax returns (both sides of hisForm 1040), mailed toDavid Cay Johnstonby an unnamed source.The form shows a payment of $38.4 million on a $49.5-milliona...","Rachel Maddowdiscloses a portion of Trump's 2005 tax returns (both sides of hisForm 1040), mailed toDavid Cay Johnstonby an unnamed source.The form shows a payment of $38.4 million on a $49.5-millionadjusted gross income, accounting for $103.2 million in losses that year, with an effective tax rate of 25%.The White House verifies the cited figures and condemns the public release as ""totally illegal"".",0.019999999999999997,Neutral
2005,Foreign Advisor Papadopoulos is interviewed for a second time by the FBI. In the following days he deletes his Facebook account which he had run since 2005 (containing correspondence concerning Russia...,"Foreign Advisor Papadopoulos is interviewed for a second time by the FBI. In the following days he deletes his Facebook account which he had run since 2005 (containing correspondence concerning Russia), opens a new Facebook account, and changes his telephone number.",0.0028409090909090884,Neutral
2014,"Trump announces he will continue to enforceExecutive Order 13672, signed byformer PresidentObamain 2014, which established legal protections forLGBTworkers....","Trump announces he will continue to enforceExecutive Order 13672, signed byformer PresidentObamain 2014, which established legal protections forLGBTworkers.",0.2,Positive
2016,"^Henderson, Barney; Alexander, Harriet; Lawler, David (February 17, 2016).""Donald Trump insists presidency is 'fine tuned machine' after extraordinary 75-minute press conference in which he attacks pr...","^Henderson, Barney; Alexander, Harriet; Lawler, David (February 17, 2016).""Donald Trump insists presidency is 'fine tuned machine' after extraordinary 75-minute press conference in which he attacks press"".The Daily Telegraph.Archivedfrom the original on February 16, 2017. RetrievedFebruary 17,2016.",0.28125,Positive
2016,"District JudgeDavid J. Halerules against afreedom of speechdefense by Trump's lawyers, permitting to proceed a lawsuit in which three plaintiffs allege Trump incited violence at a presidential campaig...","District JudgeDavid J. Halerules against afreedom of speechdefense by Trump's lawyers, permitting to proceed a lawsuit in which three plaintiffs allege Trump incited violence at a presidential campaign rally in 2016.",0.0,Neutral
2016,"^""Disclosure of Payments by Resource Extraction Issuers"".Federal Register. July 27, 2016.Archivedfrom the original on April 9, 2017....","^""Disclosure of Payments by Resource Extraction Issuers"".Federal Register. July 27, 2016.Archivedfrom the original on April 9, 2017.",0.375,Positive
2016,Timeline of the 2016 United States presidential election...,Timeline of the 2016 United States presidential election,0.0,Neutral
2016,"^Naylor, Brian (November 16, 2016).""From Lobbyists To Loyalists, See Who's On Donald Trump's Transition Team"".NPR.Archivedfrom the original on September 17, 2025. RetrievedOctober 30,2025....","^Naylor, Brian (November 16, 2016).""From Lobbyists To Loyalists, See Who's On Donald Trump's Transition Team"".NPR.Archivedfrom the original on September 17, 2025. RetrievedOctober 30,2025.",0.375,Positive
2016,"^Smith, David (November 11, 2016).""Chris Christie dropped as head of Trump's White House transition team"".The Guardian.ISSN0261-3077.Archivedfrom the original on September 16, 2025. RetrievedOctober 3...","^Smith, David (November 11, 2016).""Chris Christie dropped as head of Trump's White House transition team"".The Guardian.ISSN0261-3077.Archivedfrom the original on September 16, 2025. RetrievedOctober 30,2025.",0.1875,Positive
2016,"^The Editorial Board (November 14, 2016).""Donald Trump Is Now Hiring"".The New York Times.ISSN0362-4331.Archivedfrom the original on September 30, 2025. RetrievedNovember 21,2025....","^The Editorial Board (November 14, 2016).""Donald Trump Is Now Hiring"".The New York Times.ISSN0362-4331.Archivedfrom the original on September 30, 2025. RetrievedNovember 21,2025.",0.2556818181818182,Positive
2016,"^""Harry S. Truman: Life Before the Presidency"".Miller Center. October 4, 2016.Archivedfrom the original on November 23, 2016....","^""Harry S. Truman: Life Before the Presidency"".Miller Center. October 4, 2016.Archivedfrom the original on November 23, 2016.",0.1375,Positive
2016,"^""Nancy Pelosi swats backs challenger to be reelected House minority leader"".Los Angeles Times. December 2016.Archivedfrom the original on October 2, 2025. RetrievedSeptember 7,2020....","^""Nancy Pelosi swats backs challenger to be reelected House minority leader"".Los Angeles Times. December 2016.Archivedfrom the original on October 2, 2025. RetrievedSeptember 7,2020.",0.375,Positive
2016,"^""Monthly Statement of the Public Debt of the United States, December 31, 2016""(PDF).TreasuryDirect. Archived fromthe original(PDF)on April 27, 2017....","^""Monthly Statement of the Public Debt of the United States, December 31, 2016""(PDF).TreasuryDirect. Archived fromthe original(PDF)on April 27, 2017.",0.0,Neutral
2016,"In a series of tweets, Trump publicly accuses former President Obama ofintercepting communicationsat his offices in New York City's Trump Tower in October 2016. Obama spokesman Kevin Lewis denies the ...","In a series of tweets, Trump publicly accuses former President Obama ofintercepting communicationsat his offices in New York City's Trump Tower in October 2016. Obama spokesman Kevin Lewis denies the claim.",0.04545454545454545,Neutral
2016,The White House verifies White House advisor Kushner met with Russian ambassador Kislyak alongside Michael Flynn at New York City'sTrump Towerin December 2016....,The White House verifies White House advisor Kushner met with Russian ambassador Kislyak alongside Michael Flynn at New York City'sTrump Towerin December 2016.,0.03409090909090909,Neutral
2016,The Department of Justice confirms Attorney General Sessions met Russian ambassador Kislyak two times in 2016....,The Department of Justice confirms Attorney General Sessions met Russian ambassador Kislyak two times in 2016.,0.02500000000000001,Neutral
